Time,Price
2026-05-06 22:37,887890
2026-05-13 9:40,889000
2026-05-13 9:41,880010
2026-05-13 9:51,870000
2026-05-13 10:10:29,880000
2026-05-13 22:28:30,896990
2026-05-13 22:33:34,896980
